year,state,value
2016,Baden-Württemberg,2114555
2016,Sachsen-Anhalt,454924
2018,Thüringen,41620
2019,Nordrhein-Westfalen,6272740
2019,Rheinland-Pfalz,1291781
2020,Baden-Württemberg,63873
2021,Bayern,2457123
2021,Hessen,921808
2022,Schleswig-Holstein,390317
2022,Niedersachsen,1200402
2021,,1356589
2023,Bremen,154639
2024,Sachsen,945643
2017,Baden-Württemberg,3777776
2017,Sachsen-Anhalt,695160
2019,Brandenburg,647886
2019,Hamburg,516751
2019,Saarland,294080
2021,Sachsen,899000
2022,Thüringen,398734
2022,Berlin,748135
2024,Bayern,2460965
2024,Hessen,999710
2024,,1358361
2025,Mecklenburg-Vorpommern,36496
2015,Nordrhein-Westfalen,5873609
2015,Rheinland-Pfalz,1228746
2014,Schleswig-Holstein,2806
2016,Bayern,4213932
2016,Hessen,1247712
2017,Sachsen,1534631
2016,,1791210
2021,Baden-Württemberg,1987786
2021,Sachsen-Anhalt,343464
2023,Niedersachsen,1614138
2023,Schleswig-Holstein,546638
2022,Bremen,164775
2015,Mecklenburg-Vorpommern,380352
2016,Thüringen,433959
2017,Niedersachsen,1804417
2017,Schleswig-Holstein,894254
2016,Berlin,1050470
2023,Sachsen,1081581
2024,Bremen,199524
2015,Niedersachsen,1573146
2015,Schleswig-Holstein,751430
2014,Nordrhein-Westfalen,16140
2017,Mecklenburg-Vorpommern,544104
2019,Bremen,206893
2023,Nordrhein-Westfalen,4815091
2023,Rheinland-Pfalz,973805
2025,Baden-Württemberg,15057
2025,Sachsen-Anhalt,13216
2015,Sachsen,1227348
2017,Nordrhein-Westfalen,7239317
2017,Rheinland-Pfalz,1435328
2016,Brandenburg,561830
2016,Hamburg,442655
2016,Saarland,247787
2023,Mecklenburg-Vorpommern,369876
2015,Bayern,3500222
2015,Hessen,1413501
2011,Nordrhein-Westfalen,3733
2015,,2043714
2016,Nordrhein-Westfalen,5031610
2016,Rheinland-Pfalz,1145686
2017,Brandenburg,723531
2017,Hamburg,565326
2017,Saarland,308331
2019,Baden-Württemberg,2827934
2019,Sachsen-Anhalt,546786
2015,Bremen,211065
2018,Brandenburg,11418
2018,Saarland,20955
2019,Niedersachsen,1631170
2019,Schleswig-Holstein,775871
2022,Nordrhein-Westfalen,3182608
2022,Rheinland-Pfalz,592898
2024,Mecklenburg-Vorpommern,314855
2025,Hessen,8444
2025,Bayern,101391
2025,,57630
2016,Niedersachsen,1441577
2017,Thüringen,893328
2016,Schleswig-Holstein,668845
2017,Berlin,1229291
2022,Baden-Württemberg,1578127
2021,Bremen,175618
2023,Bayern,2795962
2023,Hessen,1144316
2022,Sachsen-Anhalt,164986
2023,,1419638
2015,Brandenburg,572239
2015,Hamburg,413196
2015,Saarland,283951
2016,Sachsen,1007657
2017,Bayern,3958642
2017,Hessen,1749824
2017,,2436033
2023,Thüringen,623672
2023,Berlin,773386
2024,Baden-Württemberg,1923266
2024,Sachsen-Anhalt,318726
2015,Thüringen,672693
2015,Berlin,1064144
2014,Hamburg,30557
2016,Mecklenburg-Vorpommern,378247
2023,Brandenburg,422838
2023,Hamburg,422796
2023,Saarland,237805
2018,Rheinland-Pfalz,56403
2018,Nordrhein-Westfalen,21065
2019,Thüringen,698172
2019,Berlin,1157529
2021,Mecklenburg-Vorpommern,275387
2022,Brandenburg,320045
2022,Hamburg,327539
2022,Saarland,149655
2016,Bremen,213902
2021,Niedersachsen,1412205
2021,Schleswig-Holstein,441008
2022,Hessen,830126
2022,Bayern,2051504
2022,,1195074
2023,Baden-Württemberg,2128070
2023,Sachsen-Anhalt,454912
2024,Berlin,763010
2024,Thüringen,481510
2025,Nordrhein-Westfalen,97900
2025,Rheinland-Pfalz,98194
2019,Sachsen,1306763
2021,Brandenburg,380449
2021,Hamburg,355944
2021,Saarland,208205
2022,Mecklenburg-Vorpommern,213764
2024,Nordrhein-Westfalen,4054913
2024,Rheinland-Pfalz,709733
2025,Berlin,59360
2025,Thüringen,23320
2017,Bremen,213610
2019,Mecklenburg-Vorpommern,445210
2021,Thüringen,428338
2021,Berlin,789637
2022,Sachsen,552215
2024,Niedersachsen,1411266
2024,Schleswig-Holstein,442858
2025,Brandenburg,19230
2025,Hamburg,11038
2025,Saarland,16634
2015,Baden-Württemberg,2670524
2015,Sachsen-Anhalt,557205
2019,Bayern,3884884
2019,Hessen,1423315
2019,,2194267
2021,Nordrhein-Westfalen,3961268
2021,Rheinland-Pfalz,790824
2024,Saarland,195352
2024,Brandenburg,371051
2024,Hamburg,383881
2025,Niedersachsen,79299
